nm	Absorbancia
767.80	-0.009
768.11	-0.014
768.43	-0.004
768.74	0.005
769.05	0.004
769.37	-0.001
769.68	-0.005
769.99	-0.004
770.31	0.003
770.62	0.006
770.93	0.005
771.25	-0.007
771.56	-0.004
771.87	0.006
772.19	0.000
772.50	-0.015
772.81	0.004
773.13	0.001
773.44	0.004
773.75	-0.020
774.06	-0.011
774.38	-0.003
774.69	-0.011
775.00	-0.005
775.31	-0.004
775.63	-0.002
775.94	-0.008
776.25	0.003
776.56	0.002
776.87	0.011
777.19	-0.003
777.50	0.001
777.81	-0.006
778.12	0.004
778.43	0.006
778.75	-0.012
779.06	-0.001
779.37	-0.000
779.68	-0.005
779.99	0.004
780.30	-0.002
780.62	0.007
780.93	0.003
781.24	-0.005
781.55	-0.009
781.86	-0.007
782.17	0.002
782.48	-0.005
782.79	-0.007
783.11	0.008
783.42	0.008
783.73	0.013
784.04	0.004
784.35	0.001
784.66	-0.001
784.97	-0.001
785.28	-0.001
785.59	-0.004
785.90	0.008
786.21	0.001
786.52	0.004
786.83	0.003
787.14	-0.002
787.46	0.004
787.77	-0.006
788.08	0.011
788.39	0.003
788.70	0.004
789.01	0.006
789.32	-0.012
789.63	-0.000
789.94	-0.003
790.25	-0.009
790.55	-0.005
790.86	-0.002
791.17	-0.012
791.48	-0.003
791.79	0.003
792.10	-0.022
792.41	-0.010
792.72	0.008
793.03	-0.016
793.34	-0.011
793.65	-0.005
793.96	-0.011
794.27	-0.004
794.58	-0.018
794.89	-0.001
795.19	0.003
795.50	-0.001
795.81	-0.008
796.12	0.003
796.43	-0.008
796.74	-0.004
797.05	0.001
797.36	0.002
797.66	-0.006
797.97	-0.010
798.28	-0.004
798.59	-0.004
798.90	-0.005
799.21	0.007
799.51	-0.000
799.82	-0.015
800.13	0.002
800.44	0.006
800.75	0.007
801.05	-0.014
801.36	-0.018
801.67	-0.007
801.98	0.001
802.28	-0.005
802.59	-0.002
802.90	-0.009
803.21	-0.009
803.51	-0.012
803.82	-0.006
804.13	-0.002
804.44	-0.011
804.74	-0.006
805.05	-0.006
805.36	0.006
805.66	-0.003
805.97	0.002
806.28	-0.005
806.59	0.003
806.89	0.001
807.20	0.001
807.51	-0.010
807.81	-0.016
808.12	0.007
808.43	-0.008
808.73	-0.001
809.04	-0.008
809.34	0.002
809.65	0.007
809.96	0.006
810.26	-0.003
810.57	-0.007
810.88	-0.018
811.18	-0.009
811.49	-0.005
811.79	-0.021
812.10	-0.018
812.40	0.000
812.71	-0.005
813.02	0.002
813.32	-0.008
813.63	0.006
813.93	0.002
814.24	0.024
814.54	0.014
814.85	0.009
815.15	-0.009
815.46	0.009
815.76	0.007
816.07	0.004
816.38	-0.016
816.68	0.009
816.99	-0.001
817.29	-0.000
817.59	0.001
817.90	-0.011
818.20	-0.011
818.51	-0.033
818.81	-0.005
819.12	-0.009
819.42	-0.003
819.73	-0.012
820.03	-0.014
820.34	-0.000
820.64	-0.019
820.94	0.003
821.25	-0.002
821.55	-0.006
821.86	-0.015
822.16	-0.019
822.46	-0.008
822.77	-0.005
823.07	-0.018
823.38	-0.002
823.68	0.004
823.98	0.011
824.29	0.004
824.59	-0.007
824.89	-0.001
825.20	0.002
825.50	-0.008
825.80	-0.009
826.11	-0.021
826.41	-0.008
826.71	0.005
827.02	-0.006
827.32	0.002
827.62	0.005
827.93	-0.014
828.23	-0.029
828.53	-0.003
828.83	-0.004
829.14	-0.010
829.44	-0.005
829.74	-0.002
830.04	0.001
830.35	-0.004
830.65	0.013
830.95	0.004
831.25	0.007
831.56	-0.015
831.86	-0.026
832.16	-0.019
832.46	-0.028
832.76	-0.007
833.07	0.010
833.37	-0.014
833.67	-0.016
833.97	-0.014
834.27	0.012
834.57	-0.003
834.88	-0.013
835.18	-0.016
835.48	-0.011
835.78	-0.003
836.08	-0.008
836.38	-0.009
836.68	0.011
836.99	-0.005
837.29	-0.011
837.59	-0.008
837.89	-0.007
838.19	0.009
838.49	-0.000
838.79	-0.002
839.09	-0.016
839.39	-0.005
839.69	0.004
839.99	-0.012
840.30	0.007
840.60	-0.019
840.90	-0.013
841.20	0.001
841.50	-0.020
841.80	-0.020
842.10	-0.002
842.40	-0.006
842.70	-0.015
843.00	-0.001
843.30	-0.002
843.60	0.020
843.90	0.004
844.20	0.004
844.50	-0.006
844.80	0.007
845.10	0.019
845.40	-0.006
845.70	-0.004
845.99	-0.008
846.29	-0.003
846.59	0.011
846.89	0.002
847.19	-0.005
847.49	0.030
847.79	0.008
848.09	-0.001
848.39	-0.015
848.69	-0.021
848.99	-0.011
849.29	-0.005
849.58	-0.040
849.88	-0.009
850.18	-0.022
850.48	-0.006
850.78	0.003
851.08	-0.006
851.38	-0.006
851.67	0.018
851.97	-0.021
852.27	-0.003
852.57	0.015
852.87	-0.019
853.16	-0.002
853.46	-0.024
853.76	-0.000
854.06	0.008
854.36	-0.010
854.65	-0.017
854.95	-0.026
855.25	-0.025
855.55	-0.001
855.84	0.015
856.14	-0.005
856.44	-0.010
856.74	0.000
857.03	0.017
857.33	0.013
857.63	-0.007
857.93	-0.021
858.22	-0.002
858.52	-0.000
858.82	-0.005
859.11	0.012
859.41	-0.019
859.71	0.006
860.00	0.002
860.30	-0.001
860.60	-0.003
860.89	-0.004
861.19	-0.036
861.49	-0.020
861.78	-0.003
862.08	0.004
862.38	-0.008
862.67	0.003
862.97	-0.028
863.26	-0.022
863.56	0.007
863.86	-0.019
864.15	0.009
864.45	0.022
864.74	0.009
865.04	0.002
865.33	0.037
865.63	-0.004
865.93	-0.019
866.22	-0.005
866.52	-0.017
866.81	0.015
867.11	0.030
867.40	-0.008
867.70	0.009
867.99	-0.017
868.29	0.009
868.58	0.005
868.88	-0.023
869.17	-0.001
869.47	-0.007
869.76	0.002
870.06	-0.014
870.35	-0.030
870.65	0.004
870.94	-0.010
871.24	-0.010
871.53	-0.022
871.82	-0.011
872.12	0.006
872.41	-0.007
872.71	-0.009
873.00	0.000
873.29	0.011
873.59	0.018
873.88	0.017
874.18	0.000
874.47	0.022
874.76	0.011
875.06	0.030
875.35	0.002
875.65	0.001
875.94	-0.012
876.23	0.002
876.53	-0.028
876.82	0.011
877.11	0.002
877.41	0.017
877.70	0.003
877.99	-0.003
878.28	-0.016
878.58	0.038
878.87	0.009
879.16	0.025
879.46	0.016
879.75	-0.010
880.04	0.031
880.33	0.001
880.63	0.021
